"source","count"
"[Commonwealth Scientific and Industrial Research Organisation, Australia]","2"
"[Gannex Pharma Co., Ltd.]","10"
"[Lucence Health Inc.]","1"
"[NOCD]","1"
"[Bunge Loders Croklaan]","1"
"[Clinique du Millenaire]","1"
"[Orion Biotechnology Polska Sp. z o.o.]","1"
"[ToDoMed]","1"
"[Alfonso X El Sabio University]","1"
"[AN2 Therapeutics, Inc]","3"
"[Novatek Pharmaceuticals]","2"
"[Clinica Gema Leon]","6"
"[Hellenic Study Group of Psychoneuroimmunology in Cancer]","1"
"[Chengdu Suncadia Medicine Co., Ltd.]","2"
"[Tachyon Therapeutics, Inc.]","1"
"[Danone Specialized Nutrition (M) Sdn Bhd]","2"
"[Lipidor AB]","2"
"[Federal State Budgetary Organization, Federal Center for Traumatology, Orthopedics and Arthroplasty]","1"
"[Dongguk University International Hospital]","1"
"[Children's Health Ireland at Crumlin]","3"
"[contextflow GmbH]","1"
"[WAE Medical]","1"
"[The Institute for Functional Medicine]","1"
"[EmpowerPharm Inc.]","1"
"[Azienda Provinciale per i Servizi Sanitari, Provincia Autonoma di Trento]","1"
"[Islamic Azad University, Isfahan (Khorasgan) Branch]","1"
"[Norges idrettshøgskole]","2"
"[Clairvoyant Therapeutics]","1"
"[Fondazione Valter Longo]","1"
"[Augenklinik LMU]","1"
"[George Washington University]","163"
"[Encysive Pharmaceuticals]","3"
"[Onxeo]","20"
"[Viatris Inc.]","85"
"[Ottawa Hospital Research Institute]","468"
"[Palo Alto Veterans Institute for Research]","41"
"[The New York Eye & Ear Infirmary]","21"
"[Friends Research Institute, Inc.]","30"
"[3M]","88"
"[Ironwood Pharmaceuticals, Inc.]","25"
"[University of South Alabama]","21"
"[St. Joseph's Hospital and Medical Center, Phoenix]","64"
"[Ferrer Internacional S.A.]","18"
"[Sophiris Bio Corp]","6"
"[VA New York Harbor Healthcare System]","15"
"[Associação Fundo de Incentivo à Pesquisa]","19"
"[CardioFocus]","9"
"[Seoul National Hospital]","3"
"[Midnight Pharma, LLC]","4"
"[The University of Texas Health Science Center at Tyler]","9"
"[Coopervision, Inc.]","140"
"[East Tennessee State University]","19"
"[Shen-Zhen City Maternity and Child Healthcare Hospital]","3"
"[USDA Beltsville Human Nutrition Research Center]","40"
"[FORSIGHT Vision3]","5"
"[Universidad Complutense de Madrid]","130"
"[ESM Technologies, LLC]","8"
"[University Hospital Birmingham NHS Foundation Trust]","41"
"[Catholic University of Brasília]","3"
"[University of Alexandria]","98"
"[Health Dialog]","2"
"[Bay Pines VA Healthcare System]","1"
"[Norrbottens Lans Landsting]","2"
"[Georgia State University]","38"
"[Elisabeth-TweeSteden Ziekenhuis]","11"
"[University of Minnesota Physicians Heart at Fairview]","1"
"[MDDX LLC]","6"
"[Centre de Recherche de l'Institut Universitaire de Geriatrie de Montreal]","13"
"[Groupe Hospitalier Sud Reunion]","1"
"[Perrigo Nutritionals]","4"
"[Anderson Orthopaedic Research Institute]","13"
"[NeoPlas Innovation]","1"
"[SeaCare Health Services]","1"
"[Nucitec]","1"
"[Spectrum Dynamics]","4"
"[Centre de recherche du Centre hospitalier universitaire de Sherbrooke]","27"
"[Brainstorm-Cell Therapeutics]","6"
"[InCROM Europe Clinical Research]","1"
"[Mundipharma Oy]","1"
"[Cifarma Cientifica Farmaceutica Ltda]","1"
"[University of Sussex]","10"
"[Orthopaedic Research and Innovation Foundation, Ireland]","1"
"[Mennonite Christian Hospital]","2"
"[Southeast Louisiana Veterans Health Care System]","3"
"[Gonzalez-Heydrich, Joseph, M.D.]","3"
"[Lifecenter Hospital]","1"
"[National Research Center for Hematology, Russia]","16"
"[Forward-Pharma GmbH]","1"
"[Zanjan University of Medical Sciences]","1"
"[Trinity Medical Center, Illinois]","1"
"[Gastrocirurgia, Brazil]","5"
"[Tryton Medical, Inc.]","3"
"[The Nazareth Hospital, Israel]","6"
"[St. Renatus, LLC]","11"
"[Polychrome Medical, Inc.]","2"
"[Institute of Hematology and Blood Transfusion, Czech Republic]","4"
"[Islamic Azad University, Tehran]","18"
"[Christie Medical Holdings, Inc.]","7"
"[Zhengzhou Children's Hospital, China]","7"
"[Vertebral Technologies, Inc.]","3"
"[Kardium Inc.]","6"
"[Fresenius Medical Care Korea]","2"
"[Turkish Psychiatry Association]","1"
"[Pharmaceutical Research Unit, Jordan]","6"
"[Insight Therapeutics, LLC]","8"
"[West Virginia University Healthcare]","2"
"[Association of Extremity Nerve Surgeons]","1"
"[University of Groningen]","16"
"[The Second Hospital of Nanjing Medical University]","39"
"[BioLeaders Corporation]","4"
"[R.J. Reynolds Tobacco Company]","2"
"[Juravinski Cancer Center]","8"
"[Centre de Recherche de l'Institut Universitaire en Santé Mentale de Québec]","2"
"[Finnish Cardiac Society]","1"
"[Nanjing Luye Sike Pharmaceutical Co., Ltd.]","4"
"[Minia Maternity University Hospital]","2"
"[NuTech Medical, Inc]","9"
"[Acist Medical Systems]","3"
"[Toronto Centre for Advanced Reproductive Technology]","2"
"[TRx Wound Care Limited]","1"
"[Rodríguez, Francisco Piqueras, M.D.]","1"
"[Samson NeuroSciences]","1"
"[Shaikh Ragheb Harb Hospital]","2"
"[Hebei Medical University Third Hospital]","24"
"[Growing Spine Study Group]","1"
"[United Lincolnshire Hospitals NHS Trust]","3"
"[Shanghai Qisheng Biological Preparation Co., Ltd.]","1"
"[Papa Giovanni XXIII Hospital]","11"
"[Longeveron Inc.]","8"
"[CISSS de Chaudière-Appalaches]","1"
"[Gema Biotech S.A.]","4"
"[University of Isfahan]","3"
"[Yangzhou No.1 People's Hospital]","3"
"[Stryker South Pacific]","4"
"[AI Therapeutics, Inc.]","6"
"[PharmaCotherapia d.o.o.]","1"
"[Centro Universitario La Salle]","15"
"[CaveoMed GmbH]","2"
"[City University of New York, School of Public Health]","8"
"[Moscow Clinical Scientific Center]","12"
"[Hospital Regional Rio Gallegos]","1"
"[Guiyang No.4 People's Hospital]","1"
"[Achros Health Technologies Corporation]","1"
"[Birkbeck, University of London]","2"
"[Jahn Ferenc South Pest Teaching Hospital]","1"
"[Quiropraxia y Equilibrio]","9"
"[Ahlia University]","8"
"[Peking University International Hospital]","6"
"[Hôpital de Viege]","1"
"[LeadExx Cardiac Ltd.]","1"
"[The First People's Hospital of Jingzhou]","5"
"[NanOlogy, LLC]","9"
"[Aura Biosciences]","5"
"[Aminex Therapeutics, Inc.]","3"
"[Unity Biotechnology, Inc.]","8"
"[Finch Research and Development LLC.]","4"
"[Aqueduct Critical Care]","2"
"[Brown Fertility]","2"
"[Erzurum Palandöken State Hospital]","2"
"[Karakter Kinder- en Jeugdpsychiatrie]","4"
"[Zion Therapeutics, LLC]","1"
"[TO Pharmaceuticals]","3"
"[Esthetic Education LLC]","1"
"[Centre Médico-Chirurgical de Réadaptation des Massues Croix Rouge Française]","4"
"[Varela, Karla Andrea Arias, M.D.]","1"
"[Hamlet Pharma AB]","1"
"[Dhulikhel Hospital]","2"
"[Biofourmis Singapore Pte Ltd.]","4"
"[Instituto Portugues de Oncologia, Francisco Gentil, Porto]","8"
"[Dilbade Education and Rehabilitation Center]","1"
"[The Open University of Japan]","1"
"[Shanghai EpimAb Biotherapeutics Co., Ltd.]","6"
"[Pilloxa]","1"
"[Indonesian Cardiovascular Research Center]","2"
"[University Medical Center Mainz]","4"
"[Cheng-Hsin General Hospital]","12"
"[HeNan Sincere Biotech Co., Ltd]","3"
"[Fundación Garcia Cugat]","3"
"[Veana Therapeutics]","1"
"[Visu, Inc.]","1"
"[Universitat Autonoma de Barcelona]","3"
"[Neurogastrx, Inc.]","1"
"[Clinique Saint Pierre Ottignies]","3"
"[Curon Biopharmaceutical (Australia) Co Pty Ltd]","3"
"[Aspivix SA]","2"
"[Surgical Systems Research Group]","1"
"[Air Force Specialized Hospital, Cairo, Egypt]","2"
"[Instituto de Cardiología de Corrientes]","1"
"[Savana Research]","2"
"[Vladikavkaz Scientific Center of the Russian Academy of Sciences]","2"
"[Calgent Biotechnology Co., Ltd]","1"
"[Senti Tech Ltd]","3"
"[Petrovsky National Research Centre of Surgery]","11"
"[Corpometria Institute]","3"
"[CatalYm GmbH]","1"
"[Big Blue Biotech, Inc.]","1"
"[JeniVision, Inc.]","1"
"[Maryland University of Integrative Health]","1"
"[Archean Technologies]","1"
"[ElastiMed ltd]","1"
"[PlusVitech S.L.]","1"
"[East Lancashire Hospitals NHS Trust]","1"
"[National Geriatric Hospital]","2"
"[Achiko AG]","1"
"[Cardio Ring Technologies, Inc. Taiwan Branch]","1"
"[Cardiac Research Institute BV]","1"
"[Myeloid Therapeutics]","1"
"[Cortexx Medical Intelligence]","1"
"[Singlera Genomics Inc.]","9"
"[Nanodropper, Inc.]","1"
"[TCM Ming Dao]","1"
"[Amrita Vishwa Vidyapeetham]","1"
"[Cousin Biotech]","1"
"[TOT Biopharm Co., Ltd.]","2"
"[The Archer-Daniels-Midland Company]","9"
"[The First Affiliated Hospital of Yangtze University]","1"
"[Group K Diagnostics Inc.]","1"
"[Wuhan Central Hospital]","2"
"[Limbic Limited]","2"
"[Kaizen Bioscience Co.]","1"
"[Klimmendaal Revalidatiespecialisten]","2"
"[CereVu Medical, Inc.]","1"
"[Jiangsu Healthy Life Innovation Medical Technology Co., Ltd]","2"
"[Comphya Australia]","1"
"[Hera Biotech, Inc.]","1"
"[Central Denmark Region]","2"
"[Wings Health AG]","1"
"[Terran Biosciences Australia Pty Ltd]","1"
"[Shanghai Blueray Biopharma Co., Ltd.]","1"
"[National Center for Research Resources (NCRR)]","166"
"[Neovii Biotech]","16"
"[Center for Supporting Hematology-Oncology Trials]","1"
"[Hvolby, Allan, M.D.]","1"
"[HaEmek Medical Center, Israel]","234"
"[University Hospital Inselspital, Berne]","622"
"[Goupe d'Etudes et de Recherche Clinique En Rhumatologie]","1"
"[Mackay Memorial Hospital]","85"
"[Pro Top & Mediking Company Limited]","12"
"[University of Vigo]","27"
"[Taoyuan Psychiatric Center, Ministry of Health and Welfare, Executive Yuan, R.O.C. Taiwan]","5"
"[Sprout Pharmaceuticals, Inc]","13"
"[Resicard]","3"
"[Royal Alexandra Hospital]","3"
"[NovoCure Ltd.]","20"
"[University of Roma La Sapienza]","325"
"[Wuhan University]","40"
"[Western Galilee Hospital-Nahariya]","73"
"[Cardiometabolics]","1"
"[Esanex Inc.]","11"
"[Aleris Helse]","2"
"[Peking University People's Hospital]","362"
"[Ball Memorial Hospital]","1"
"[BioPartners GmbH]","1"
"[Immunsystem AB]","1"
"[Sequel Pharmaceuticals, Inc]","3"
"[Peter J. Ruane, M.D., Inc.]","4"
"[Carolinas Medical Center]","1"
"[Celyad Oncology SA]","13"
"[Zhejiang Cancer Hospital]","167"
"[Clalit Health Services]","48"
"[Phoenix VA Health Care System]","7"
"[CPEX Pharmaceuticals Inc.]","2"
"[NeuroBioPharm Inc.]","1"
"[Kanto CML Study Group]","3"
"[Pearl Therapeutics, Inc.]","38"
"[Ocular Systems, Inc.]","1"
"[Unidade de Terapia Intensiva]","2"
"[Sygnis Bioscience GmbH & Co KG]","1"
"[Noscira SA]","3"
"[Ankara University]","160"
"[Jaslok Hospital and Research Centre]","2"
"[Cardiac Imaging of Augusta]","1"
"[Regional Palliative Care Network]","2"
"[Jhpiego]","27"
"[The Plastic Surgery Foundation]","2"
"[Proaparts srl]","1"
"[Digna Biotech S.L.]","4"
"[Bionorica SE]","12"
"[Ligue Pulmonaire Genevoise]","4"
"[Barrie Urology Associates]","2"
"[Micropharma Limited]","4"
"[Foundation Fighting Blindness]","2"
"[Bossink, A.W.J.]","1"
"[Medical Device Works NV SA]","1"
"[Probiomed S.A. de C.V.]","1"
"[Admetsys Corporation]","1"
"[Universidad Nacional de Salta]","5"
"[Grupo Hospital de Madrid]","7"
"[St. Josef Hospital Bochum]","4"
"[Continuity Research Network]","1"
"[Apira Science, Inc.]","1"
"[Sociedad Española de Trasplante Hepático]","2"
"[Vedic Lifesciences Pvt. Ltd.]","52"
"[New Discovery LLC]","6"
"[American Medical Academy, Serbia]","1"
"[Truth Initiative]","8"
"[Klinikum Klagenfurt am Wörthersee]","5"
"[Daxor Corporation]","3"
"[Tibion Bionics, Inc.]","2"
"[Hôpital Edouard Herriot]","22"
"[Grupo Oncologico Cooperativo Chileno de Investigation]","1"
"[The Second Affiliated Hospital of Kunming Medical University]","3"
"[Topokine Therapeutics, Inc.]","6"
"[Chongqing Fortune Pharmaceutical Co., Ltd.]","1"
"[NGM Biopharmaceuticals, Inc]","22"
"[Croma-Pharma GmbH]","19"
"[Sri Manakula Vinayagar Medical College and Hospital]","1"
"[Somna Therapeutics, L.L.C.]","1"
"[Edge Therapeutics Inc]","3"
"[NanoString Technologies, Inc.]","3"
"[Walsall Healthcare NHS Trust]","1"
"[Great Lakes Pharmaceuticals Inc.]","1"
"[Stanley Dudrick's Memorial Hospital]","11"
"[Comitato Etico di Area Vasta Sud Est]","2"
"[Inotec AMD Limited]","3"
"[Diagram B.V.]","8"
"[Centro Universitario de Lavras]","1"
"[DMF Medical Incorporated]","2"
"[ShangHai Ji Ai Genetics & IVF Institute]","21"
"[Prometic Biotherapeutics, Inc.]","5"
"[Universitat de Girona]","6"
"[Islamic Azad University, Marvdasht]","1"
"[The National Dental Practice-Based Research Network]","1"
"[Universidad Abierta Interamericana]","2"
"[Aldeyra Therapeutics, Inc.]","30"
"[Theriva Biologics, Inc.]","7"
"[Association pour le Developpement d'Investigations et de Thérapeutiques en Néphrologie]","1"
"[Instituto Vascular BH]","1"
"[Belgian Cancer Registry]","1"
"[Southwest Infectious Disease Clinical Research, Inc.]","1"
"[One Fertility]","1"
"[British Columbia Children's Hospital]","10"
"[American BioOptics, LLC]","1"
"[AC Immune SA]","4"
"[Oregon Research Behavioral Intervention Strategies, Inc.]","18"
"[EPD Solutions, A Philips Company]","6"
"[California State University, Dominguez Hills]","4"
"[Société Française d'Anesthésie et de Réanimation]","8"
"[Leonard-Meron Biosciences, Inc.]","2"
"[Kazia Therapeutics Limited]","4"
"[Probionase Therapies Inc.]","1"
"[Optimed Medizinische Instrumente GmbH]","1"
"[ZOL]","2"
"[Eurocine Vaccines AB]","2"
"[Medalp Private Surgery Clinic]","2"
"[Shenzhen Institute for Innovation and Translational Medicine]","1"
"[Empirical Spine, Inc.]","1"
"[Methodist Medical Center of Illinois]","3"
"[Italian Resuscitation Council]","1"
"[Bürgerspital Solothurn]","5"
"[ProofPilot]","12"
"[National Kidney and Transplant Institute, Philippines]","1"
"[Sanjuan, Silvia Forcano, M.D.]","1"
"[Ginegorama S.L.]","1"
"[Al-Balqa Applied University]","2"
"[CoolTech LLC]","2"
"[Pharmacotherapies for Alcohol and Substance Use Disorders Alliance]","4"
"[The Stone Research Foundation for Sports Medicine and Arthritis]","3"
"[ETS Wound Care, LLC]","1"
"[Cellestia Biotech AG]","1"
"[PTS International Inc.]","2"
"[CardiacSense Ltd.]","8"
"[Bridge Biotherapeutics, Inc.]","9"
"[Envizion Medical Ltd.]","1"
"[TecTraum Inc.]","1"
"[Merrimack College]","1"
"[OncoNano Medicine, Inc.]","3"
"[Grupo Mexicano para el Estudio de la Medicina Intensiva]","5"
"[IVIEW Therapeutics Inc.]","2"
"[Apteeus]","1"
"[Istituto Scientifico Italiano Colonna Vertebrale]","6"
"[Karl Landsteiner Institute for Systematics in General Medicine]","1"
"[Wright State Physicians]","1"
"[CoRehab s.r.l.]","1"
"[Synthorx, Inc, a Sanofi company]","1"
"[Pulmonary Hypertension Association, Inc.]","1"
"[Sports Medicine Research and Testing Laboratory]","2"
"[Rampart Health, L.L.C.]","2"
"[Atlas Biomed]","3"
"[Kyungpook National University Chilgok Hospital]","8"
"[Buzzard Pharmaceuticals]","1"
"[TRC GEN+ managed by Trans Russian co Cy]","1"
"[EndoVigilant Inc]","2"
"[Orthopedic One]","1"
"[Guangzhou Burning Rock Dx Co., Ltd.]","2"
"[Studio Ban Mancini Fabbri]","1"
"[Grand Life Science (Liaoning) Co., Ltd.]","1"
"[Intra-IMMUSG Pte Ltd]","1"
"[Associacao para Investigacao e Desenvolvimento da Faculdade de Medicina - CETERA]","2"
"[Restem, LLC.]","1"
"[LactaLogics, Inc]","1"
"[neurescue]","3"
"[Kintsugi Mindful Wellness, Inc.]","4"
"[Fundación Clínica Shaio]","1"
"[Shanghai Guanghua Hospital of Integrated Traditional Chinese and Western Medicine]","2"
"[Nasus Pharma]","3"
"[Prolepsis Institute for Preventive, Environmental and Occupational Medicine]","1"
"[Shafer Clinic Fifth Avenue]","1"
"[Bionime Corporation]","1"
"[Annexin Pharmaceuticals AB]","2"
"[Capital Health System, Inc]","1"
"[Instituto de Ortopedia Infantil Roosevelt]","1"
"[Ecole d'ostéopathie de Paris]","1"
"[Neonc Technologies, Inc.]","1"
"[NWTraumatherapies]","1"
"[Bluejay Diagnostics, Inc.]","4"
"[Honeybrains Biotech LLC]","1"
"[VA Eastern Kansas]","1"
"[BIXINK Therapeutics Co., Ltd.]","1"
"[Sunshine Specialty Health Care]","1"
"[Qena Faculty of medicine, South Valley University]","2"
"[RSUP Fatmawati]","1"
"[Oncomedics]","1"
"[Lukas Biomedical Inc.]","1"
"[University of Defence, Faculty of Military Health Sciences]","2"
"[Global Alzheimer's Platform Foundation]","1"
"[DilonMed]","1"
"[Hiram's Healthcare and Education Company]","1"
"[Ifocus Oyeklinikk]","1"
"[Glyscend, Inc.]","1"
"[Shulan (Hangzhou) Hospital]","2"
"[Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.]","1"
"[Shaqra University]","1"
"[Galaxy Therapeutics INC]","2"
"[Odin Medical]","1"
"[Poolbeg Pharma plc]","1"
"[Yes Skin Medical Group]","1"
"[Centre Epaule Coude CEPCO]","1"
"[Glycovax Pharma Inc.]","1"
"[University of Alabama at Birmingham]","1122"
"[Yale University]","1411"
"[Sigma-Tau Research, Inc.]","4"
"[Agenus Inc.]","29"
"[Fundacio d'Investigacio en Atencio Primaria Jordi Gol i Gurina]","127"
"[Corcept Therapeutics]","56"
"[Murphy, Michael P., MD]","1"
"[St. Lucas Andreas Ziekenhuis Hospital]","1"
"[TNO]","32"
"[Ralph H. Johnson VA Medical Center]","3"
"[Laboratoires Arkopharma]","2"
"[Pan American Health Organization]","2"
"[Altus Pharmaceuticals]","2"
"[Yokohama City University Medical Center]","19"
"[Southern Illinois University]","25"
"[Centre Hospitalier de Meaux]","1"
"[Providence Multiple Sclerosis Center]","1"
"[Universidade Estadual de Londrina]","44"
"[University of Bialystok]","2"
"[Institut Curie]","102"
"[Hokkaido University Hospital]","2"
"[St. Olavs Hospital]","124"
"[AORTICA Group]","5"
"[Walter Reed National Military Medical Center]","59"
"[Abbott Research Group]","1"
"[Pierre Fabre Medicament]","59"
"[University of Parma]","66"
"[Nordfjord Psychiatric Centre]","1"
"[Lifespan]","19"
"[DARA Therapeutics]","1"
"[Tianjin Nankai Hospital]","17"
"[Reata Pharmaceuticals, Inc.]","41"
"[Respirics Inc.]","1"
"[Philips Respironics]","36"
"[Hospital Clinico Universitario San Cecilio]","2"
"[BioMarck Pharmaceuticals, Ltd.]","3"
"[Rutgers University]","11"
"[Idera Pharmaceuticals, Inc.]","13"
"[Associations for Establishment of Evidence in Interventions]","6"
"[Neys-van Hoogstraten Foundation, The Netherlands]","1"
"[St George's Healthcare NHS Trust]","5"
"[Medecins Sans Frontieres, Netherlands]","13"
"[Meshalkin Research Institute of Pathology of Circulation]","103"
"[Egyptian Foundation For Cancer Research]","1"
"[Cytograft Tissue Engineering]","1"
"[Pharm Olam Pharmaceuticals Ltd.]","1"
"[Child Advocacy International]","1"
"[Neurologique Foundation, Inc.]","1"
"[University of Nevada, Las Vegas]","46"
"[Asmacure Ltée]","4"
"[Michael J. Fox Foundation for Parkinson's Research]","10"
"[Napa Pain Institute]","1"
"[Santa Casa de Misericórdia de Belo Horizonte]","2"
"[Leti Pharma GmbH]","4"
"[Kocaeli University]","102"
"[MD Anderson International Spain SA]","1"
"[Minerva Surgical, Inc.]","6"
"[The Adelaide and Meath Hospital]","6"
"[Frankel, Amylynne, M.D.]","3"
"[Psychometrix Associates]","1"
"[Gazi University]","266"
"[North Dakota State University]","22"
"[Daping Hospital and the Research Institute of Surgery of the Third Military Medical University]","67"
"[St. Anne's University Hospital Brno, Czech Republic]","11"
"[George Clinical Pty Ltd]","6"
"[Centro di Riferimento Oncologico - Aviano]","9"
"[Dong Wha Pharmaceutical Co. Ltd.]","14"
"[Institute for Human Genetics and Biochemistry]","2"
"[Molecular Research Center, Inc.]","1"
"[Glenmark Pharmaceuticals Ltd. India]","15"
"[Pontifícia Universidade Católica de Minas Gerais]","8"
"[Azienda Sanitaria Locale di Cagliari]","1"
"[SK Telecom Consortium]","1"
"[MethylGene Inc.]","1"
"[Arbor Pharmaceuticals, Inc.]","13"
"[Universitat Internacional de Catalunya]","92"
"[Indian Institute of Science]","1"
"[Medigen Biotechnology Corporation]","2"
"[Universidade Católica de Moçambique]","1"
"[The Brandon Centre, London]","1"
"[Richard Solomon MD, Plc]","1"
"[Biosuccess Biotech Co., Ltd.]","1"
"[Notre-Dame Hospital, Montreal, Quebec, Canada]","1"
"[General Hospital Of Pyrgos]","1"
"[Logan University, Inc.]","1"
"[Osservatorio Epidemiologico GISEA]","1"
"[Beijing Bio-Fortune Ltd.]","2"
"[ProSight]","1"
"[IVERIC bio, Inc.]","7"
"[Clinical Hospital Center Zemun]","4"
"[Prism Vision Group]","5"
"[Tissue Therapies Ltd.]","1"
"[Chiesi Canada Corp]","5"
"[Centro Universitario contra el Cáncer]","1"
"[CR-CSSS Champlain-Charles-Le Moyne]","6"
"[Helmholtz Centre for Infection Research]","3"
"[EPI-Q]","2"
"[EndoChoice Innovation Center, Ltd.]","2"
"[Trevi Therapeutics]","8"
"[Nexgen Pharma, Inc]","2"
"[Aethlon Medical Inc.]","3"
"[Fundación Marques de Valdecilla]","15"
"[First Affiliated Hospital Xi'an Jiaotong University]","245"
"[Hospital Infantil Sabará]","1"
"[ArmaGen, Inc]","4"
"[Clinical Research Support Center Kyush]","2"
"[Fakih IVF Fertility Center]","1"
"[FREMAP Mutual Insurance Company for Occupational Accidents and Diseases]","2"
"[University of Westminster]","5"
"[Fertin Pharma A/S]","3"
"[University of Jaén]","51"
"[Womb Transplant UK]","2"
"[VR1 Corporation]","1"
"[First People's Hospital of Chenzhou]","12"
"[Hygieia Research LLC]","1"
"[Refill France]","1"
"[Corbus Pharmaceuticals Inc.]","6"
"[Everist Genomics, Inc]","3"
"[ADDMEDICA SASA]","7"
"[PNA Center for Neurological Research]","1"
"[Northwest Center for Infertility and Reproductive Endocrinology]","1"
"[University Health Care System, Augusta, Georgia]","1"
"[Eupraxia Pharmaceuticals Inc.]","3"
"[eSight Corporation]","1"
"[Bowling Green State University]","2"
"[Lokon Pharma AB]","3"
"[James Cook University, Queensland, Australia]","1"
"[Triomed AB]","4"
"[Society for Vascular Surgery Patient Safety Organization]","1"
"[Nalecz Institute of Biocybernetics and Biomedical Engineering, Polish Academy of Sciences]","2"
"[Oxytone Bioscience BV]","2"
"[HGE Health Care Solutions, LLC]","2"
"[One World Cannabis Ltd.]","2"
"[Think Surgical Inc.]","1"
"[Maadi Military Hospital]","1"
"[Norfolk and Suffolk NHS Foundation Trust]","1"
"[Zayed University]","4"
"[King Saud Bin Abdulaziz University for Health Sciences]","2"
"[Omair Sana Foundation]","1"
"[American Federation of Medical Synergetics]","1"
"[Paragon 28]","8"
"[Fidia Pharma USA Inc.]","1"
"[State Budgetary Healthcare Institution, National Medical Surgical Center N.A. N.I. Pirogov, Ministry of Health of Russia]","11"
"[Shanxi Province Cancer Hospital]","4"
"[Mid Sweden University]","2"
"[GY Highland Biotech LLC]","1"
"[Apexian Pharmaceuticals, Inc.]","1"
"[Ectosense NV]","6"
"[AUVA Trauma Center Meidling]","1"
"[DongKoo Bio & Pharma]","1"
"[Lohmann & Rauscher]","4"
"[Juul Labs, Inc.]","10"
"[Lyndra Inc.]","5"
"[Ivy Life Sciences, Co., Ltd]","3"
"[UMAE Hospital de Traumatologia y Ortopedia de Puebla]","1"
"[Al Jalila Children's Specialty Hospital]","1"
"[Saraswati-Dhanwantari Dental College & Hospital]","1"
"[Moroccan Society of Surgery]","12"
"[BrainCheck, Inc.]","2"
"[Clerio Vision, Inc.]","1"
"[Paul Scherrer Institut, Center for Proton Therapy]","1"
"[Neuraly, Inc.]","4"
"[Texan Allergy & Sinus Center]","1"
"[Oncoinvent AS]","2"
"[Sevgi Medical Center]","1"
"[Neurocytonix, Inc.]","1"
"[Bionorte]","1"
"[Sanliurfa Mehmet Akif Inan Education and Research Hospital]","14"
"[Astana Medical University]","13"
"[Ergoterapia Manoegomito Sagl]","1"
"[Global Coalition for Adaptive Research]","1"
"[Dordt University]","2"
"[Procare Health Iberia S.L.]","9"
"[Personalized Stem Cells, Inc.]","1"
"[Aucta Technologies, Inc.]","1"
"[National Taiwan Normal University]","34"
"[Sofwave Medical LTD]","6"
"[Bio-Sensing Solutions S.L. (DyCare)]","2"
"[AMS Centro Medico del Ejercicio]","1"
"[Coapt, LLC]","2"
"[Genuv Inc.]","1"
"[Peshawar Medical College]","4"
"[Pregistry]","6"
"[Plastic Surgery Group AG by Prof. Jian Farhadi]","1"
"[UnitedHealthcare]","1"
"[Total Definer Research Group]","1"
"[Contour Research]","1"
"[CADskills]","1"
"[Rezolute]","2"
"[ETICA]","1"
"[Saneso Inc.]","2"
"[Avila Herbals]","1"
"[Karl Landsteiner Institute for Lung Research and Pneumological Oncology]","3"
"[Catholic University of Murcia]","3"
"[HysensBio Co., Ltd]","1"
"[Eden BioCell Ltd.]","1"
"[Lymphatica Medtech SA]","1"
"[Cantero Therapeutics, a BridgeBio company]","1"
"[Auxilair]","1"
"[Cluster de Bioeconomia de Baja California, A.C]","1"
"[Linepharma International LTD]","1"
"[A2 Biotherapeutics Inc.]","2"
"[Protara Therapeutics]","3"
"[DemeRx IB, Inc.]","1"
"[OncoResponse, Inc.]","1"
"[Quantified Citizen Technologies Inc.]","1"
"[Heart Health Research Center]","1"
"[Qmedics AG]","1"
"[AURA Paris]","1"
"[Burdur Mehmet Akif Ersoy University]","3"
"[North Texas Medical Research Institute, PLLC]","1"
"[Escola Superior de Saude do Alcoitao]","1"
"[Kashiv BioSciences, LLC]","3"
"[Excalibur Pharmaceuticals, Inc.]","1"
"[Celltrion HealthCare France]","1"
"[Croatian Society for Organ Support]","2"
"[Hospital Pengajar Universiti Putra Malaysia]","1"
"[Gene Surgery LLC]","1"
"[I-VASC S.r.l]","1"
"[LAPIX Therapeutics Inc.]","1"
"[uMov]","1"
"[Tam Anh TP. Ho Chi Minh General Hospital]","1"
"[The Scripps Research Institute]","17"
"[University of South Carolina]","128"
"[Northwest Biotherapeutics]","5"
"[Orphan Medical]","2"
"[Mirhashemi, Ramin, M.D.]","1"
"[Min-Sheng General Hospital]","16"
"[Royal Adelaide Hospital]","6"
"[University of Oxford]","651"
"[Lehigh University]","13"
"[Groupe Hospitalier Pitie-Salpetriere]","67"
"[St. Justine's Hospital]","141"
"[The Alfred]","47"
"[Institut de Recherches Cliniques de Montreal]","53"
"[Universidade Federal do Rio de Janeiro]","110"
"[St. Luke's-Roosevelt Hospital Center]","64"
"[Janssen-Ortho LLC]","4"
"[Public Health - Seattle and King County]","6"
"[Amicus Therapeutics]","42"
"[ART Advanced Research Technologies Inc.]","1"
"[BioStratum]","2"
"[Giriraj Hospital]","1"
"[Research and Education Foundation of Michael Reese Hospital]","1"
"[Alyn Pediatric & Adolescent Rehabilitation Hospital]","11"
"[Starpharma Pty Ltd]","9"
"[Virionyx Corporation Limited]","1"
"[Weleda AG]","1"
"[Medtronic Cardiovascular]","93"
"[University Rovira i Virgili]","33"
